clinic,date,type,wait_established,wait_new
TR,9/12/2025,SLEEP MEDICINE,27.7,103.3
TR,9/12/2025,SUBSTANCE USE DISORDER GROUP,0.5,NA
TR,9/12/2025,SUBSTANCE USE DISORDER INDIVIDUAL,11.2,27.5
TR,9/12/2025,UROLOGY,12.9,61.4
TR,9/12/2025,WOMEN'S HEALTH,2.9,27.3
WLA,9/12/2025,AUDIOLOGY,22.8,46.5
WLA,9/12/2025,CARDIOLOGY,15.7,22.7
WLA,9/12/2025,DENTAL,2.3,18.9
WLA,9/12/2025,DERMATOLOGY,12.9,41.3
WLA,9/12/2025,ENDOCRINOLOGY,14.3,36.7
WLA,9/12/2025,GASTROENTEROLOGY,20.4,55.8
WLA,9/12/2025,MENTAL HEALTH GROUP,11.2,76.9
WLA,9/12/2025,MENTAL HEALTH INDIVIDUAL,12.2,59.7
WLA,9/12/2025,NEUROLOGY,26.4,78.1
WLA,9/12/2025,OB/GYN,18,55.9
WLA,9/12/2025,OCCUPATIONAL THERAPY,17.2,24.9
WLA,9/12/2025,ONCOLOGY,6.4,24.7
WLA,9/12/2025,OPHTHALMOLOGY,10.9,40.4
WLA,9/12/2025,OPTOMETRY,34.2,66.7
WLA,9/12/2025,ORTHOPEDICS,4.3,59.8
WLA,9/12/2025,PAIN MEDICINE,13.8,54.7
WLA,9/12/2025,PHYSICAL THERAPY,12.6,36.4
WLA,9/12/2025,PODIATRY,5.3,34.6
WLA,9/12/2025,PRIMARY CARE,6.8,23.1
WLA,9/12/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,13.1,95.4
WLA,9/12/2025,PTSD SPECIFIC GROUP PROGRAMS,0,NA
WLA,9/12/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,6.7,0
WLA,9/12/2025,PULMONOLOGY,13.9,36.1
WLA,9/12/2025,SLEEP MEDICINE,47.4,99
WLA,9/12/2025,SUBSTANCE USE DISORDER GROUP,0.2,NA
WLA,9/12/2025,SUBSTANCE USE DISORDER INDIVIDUAL,37.2,49.2
WLA,9/12/2025,UROLOGY,8.6,43.7
WLA,9/12/2025,WOMEN'S HEALTH,8.5,34.7
JM,9/15/2025,AUDIOLOGY,26.5,46.4
JM,9/15/2025,CARDIOLOGY,10.6,37.4
JM,9/15/2025,DENTAL,12.8,87.2
JM,9/15/2025,DERMATOLOGY,11.2,46.4
JM,9/15/2025,ENDOCRINOLOGY,19.9,62.5
JM,9/15/2025,GASTROENTEROLOGY,13.3,48.2
JM,9/15/2025,MENTAL HEALTH GROUP,15.2,101
JM,9/15/2025,MENTAL HEALTH INDIVIDUAL,14.2,32.1
JM,9/15/2025,NEUROLOGY,18.2,121
JM,9/15/2025,OB/GYN,2.4,26.2
JM,9/15/2025,OCCUPATIONAL THERAPY,15.4,42.2
JM,9/15/2025,ONCOLOGY,1.3,19.4
JM,9/15/2025,OPHTHALMOLOGY,23,103.5
JM,9/15/2025,OPTOMETRY,16.9,87.5
JM,9/15/2025,ORTHOPEDICS,8.9,37.3
JM,9/15/2025,PAIN MEDICINE,31.7,94
JM,9/15/2025,PHYSICAL THERAPY,32.4,76.7
JM,9/15/2025,PODIATRY,30.4,133.7
JM,9/15/2025,PRIMARY CARE,5.6,15.8
JM,9/15/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,7.9,20.4
JM,9/15/2025,PTSD SPECIFIC GROUP PROGRAMS,7.6,NA
JM,9/15/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,12.9,NA
JM,9/15/2025,PULMONOLOGY,29.3,68.7
JM,9/15/2025,SLEEP MEDICINE,10.6,44.1
JM,9/15/2025,SUBSTANCE USE DISORDER GROUP,2.1,NA
JM,9/15/2025,SUBSTANCE USE DISORDER INDIVIDUAL,9.4,9.6
JM,9/15/2025,UROLOGY,14.8,50.3
JLP,9/15/2025,AUDIOLOGY,8.4,24.4
JLP,9/15/2025,CARDIOLOGY,11.8,51.3
JLP,9/15/2025,DERMATOLOGY,11.1,24.5
JLP,9/15/2025,GASTROENTEROLOGY,3.3,32.3
JLP,9/15/2025,MENTAL HEALTH GROUP,2,NA
JLP,9/15/2025,MENTAL HEALTH INDIVIDUAL,13.9,1
JLP,9/15/2025,NEUROLOGY,20.2,61.8
JLP,9/15/2025,ONCOLOGY,6.2,22.1
JLP,9/15/2025,OPHTHALMOLOGY,19.6,83.8
JLP,9/15/2025,OPTOMETRY,68,182.6
JLP,9/15/2025,ORTHOPEDICS,16.5,46.1
JLP,9/15/2025,PAIN MEDICINE,21.4,35
JLP,9/15/2025,PODIATRY,17.9,60.6
JLP,9/15/2025,PRIMARY CARE,11.7,14
JLP,9/15/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,3.3,16.5
JLP,9/15/2025,PULMONOLOGY,13.1,31.1
JLP,9/15/2025,SLEEP MEDICINE,80.1,300.2
JLP,9/15/2025,SUBSTANCE USE DISORDER GROUP,0.1,NA
JLP,9/15/2025,SUBSTANCE USE DISORDER INDIVIDUAL,2.6,6.6
JLP,9/15/2025,UROLOGY,10.9,41.2
SF,9/15/2025,AUDIOLOGY,5.3,24.5
SF,9/15/2025,CARDIOLOGY,15.5,23.3
SF,9/15/2025,DENTAL,10.5,70.3
SF,9/15/2025,DERMATOLOGY,9.3,43.6
SF,9/15/2025,ENDOCRINOLOGY,13.3,42
SF,9/15/2025,GASTROENTEROLOGY,7.4,31.5
SF,9/15/2025,MENTAL HEALTH GROUP,3.1,NA
SF,9/15/2025,MENTAL HEALTH INDIVIDUAL,6.8,45.8
SF,9/15/2025,NEUROLOGY,11.4,33.7
SF,9/15/2025,OB/GYN,17.4,27.7
SF,9/15/2025,OCCUPATIONAL THERAPY,6.7,13.8
SF,9/15/2025,ONCOLOGY,2.5,22.6
SF,9/15/2025,OPHTHALMOLOGY,13.7,49.7
SF,9/15/2025,OPTOMETRY,15.1,42.6
SF,9/15/2025,ORTHOPEDICS,19.7,39
SF,9/15/2025,PAIN MEDICINE,10.8,26.5
SF,9/15/2025,PHYSICAL THERAPY,10,46.6
SF,9/15/2025,PODIATRY,7.5,56
SF,9/15/2025,PRIMARY CARE,7.2,18.2
SF,9/15/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,1.8,5.9
SF,9/15/2025,PTSD SPECIFIC GROUP PROGRAMS,3.6,NA
SF,9/15/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,10.9,NA
SF,9/15/2025,PULMONOLOGY,35.7,44.9
SF,9/15/2025,SLEEP MEDICINE,27.3,36.8
SF,9/15/2025,SUBSTANCE USE DISORDER GROUP,0.1,NA
SF,9/15/2025,SUBSTANCE USE DISORDER INDIVIDUAL,2.3,41.1
SF,9/15/2025,UROLOGY,9.4,19.2
SF,9/15/2025,WOMEN'S HEALTH,2.4,9.3
TR,9/15/2025,AUDIOLOGY,4.2,10.6
TR,9/15/2025,CARDIOLOGY,13.3,21.1
TR,9/15/2025,DENTAL,17.1,34.1
TR,9/15/2025,DERMATOLOGY,5.5,39.9
TR,9/15/2025,ENDOCRINOLOGY,9.1,38.6
TR,9/15/2025,GASTROENTEROLOGY,19.5,65.1
TR,9/15/2025,MENTAL HEALTH GROUP,3.2,61.3
TR,9/15/2025,MENTAL HEALTH INDIVIDUAL,8.7,33.8
TR,9/15/2025,NEUROLOGY,19,82.4
TR,9/15/2025,OB/GYN,4.3,26.9
TR,9/15/2025,OCCUPATIONAL THERAPY,17,45.7
TR,9/15/2025,ONCOLOGY,9.6,27.6
TR,9/15/2025,OPHTHALMOLOGY,5.4,15.7
TR,9/15/2025,OPTOMETRY,3.5,39.2
TR,9/15/2025,ORTHOPEDICS,2.7,14
TR,9/15/2025,PAIN MEDICINE,11.9,37.2
TR,9/15/2025,PHYSICAL THERAPY,14.3,48.5
TR,9/15/2025,PODIATRY,4.7,22
TR,9/15/2025,PRIMARY CARE,7.7,36.8
TR,9/15/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,12,52.3
TR,9/15/2025,PTSD SPECIFIC GROUP PROGRAMS,3.4,NA
TR,9/15/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,14.4,33
TR,9/15/2025,PULMONOLOGY,15.4,25
TR,9/15/2025,SLEEP MEDICINE,29.3,102.9
TR,9/15/2025,SUBSTANCE USE DISORDER GROUP,0.2,NA
TR,9/15/2025,SUBSTANCE USE DISORDER INDIVIDUAL,10.3,25.8
TR,9/15/2025,UROLOGY,12.1,60.6
TR,9/15/2025,WOMEN'S HEALTH,2.8,28.4
WLA,9/15/2025,AUDIOLOGY,19.4,50
WLA,9/15/2025,CARDIOLOGY,15.5,23.3
WLA,9/15/2025,DENTAL,2.3,19.7
WLA,9/15/2025,DERMATOLOGY,13.6,41.4
WLA,9/15/2025,ENDOCRINOLOGY,15.3,37.2
WLA,9/15/2025,GASTROENTEROLOGY,19.3,57.1
WLA,9/15/2025,MENTAL HEALTH GROUP,10.5,94.2
WLA,9/15/2025,MENTAL HEALTH INDIVIDUAL,11.9,56.5
WLA,9/15/2025,NEUROLOGY,27.7,82.2
WLA,9/15/2025,OB/GYN,18.3,57.7
WLA,9/15/2025,OCCUPATIONAL THERAPY,17.5,26.9
WLA,9/15/2025,ONCOLOGY,8.4,28.6
WLA,9/15/2025,OPHTHALMOLOGY,11.2,37.5
WLA,9/15/2025,OPTOMETRY,34.4,66.4
WLA,9/15/2025,ORTHOPEDICS,4.6,62.1
WLA,9/15/2025,PAIN MEDICINE,14,53.3
WLA,9/15/2025,PHYSICAL THERAPY,12.9,37.5
WLA,9/15/2025,PODIATRY,5.1,38.3
WLA,9/15/2025,PRIMARY CARE,7,23.3
WLA,9/15/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,10.6,100.7
WLA,9/15/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,4.9,0
WLA,9/15/2025,PULMONOLOGY,16.1,34.5
WLA,9/15/2025,SLEEP MEDICINE,51,100
WLA,9/15/2025,SUBSTANCE USE DISORDER GROUP,0.1,NA
WLA,9/15/2025,SUBSTANCE USE DISORDER INDIVIDUAL,37.4,48.4
WLA,9/15/2025,UROLOGY,8.9,42.4
WLA,9/15/2025,WOMEN'S HEALTH,8.6,34.5
JM,9/16/2025,AUDIOLOGY,26.1,43.4
JM,9/16/2025,CARDIOLOGY,10,35.6
JM,9/16/2025,DENTAL,13.1,86.6
JM,9/16/2025,DERMATOLOGY,11,46
JM,9/16/2025,ENDOCRINOLOGY,20.4,62.3
JM,9/16/2025,GASTROENTEROLOGY,13.5,46.1
JM,9/16/2025,MENTAL HEALTH GROUP,14.5,101
JM,9/16/2025,MENTAL HEALTH INDIVIDUAL,14.1,30.9
JM,9/16/2025,NEUROLOGY,18.7,122.8
JM,9/16/2025,OB/GYN,2.3,25.1
JM,9/16/2025,OCCUPATIONAL THERAPY,15.1,40.7
JM,9/16/2025,ONCOLOGY,1.3,20.4
JM,9/16/2025,OPHTHALMOLOGY,23.5,103.5
JM,9/16/2025,OPTOMETRY,17.1,88.1
JM,9/16/2025,ORTHOPEDICS,8.2,34.1
JM,9/16/2025,PAIN MEDICINE,31.7,93.1
JM,9/16/2025,PHYSICAL THERAPY,32.1,76.5
JM,9/16/2025,PODIATRY,30.9,133.1
JM,9/16/2025,PRIMARY CARE,5.5,16
JM,9/16/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,7.6,20.3
JM,9/16/2025,PTSD SPECIFIC GROUP PROGRAMS,8,NA
JM,9/16/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,12.5,NA
JM,9/16/2025,PULMONOLOGY,29.7,74
JM,9/16/2025,SLEEP MEDICINE,10.3,44.3
JM,9/16/2025,SUBSTANCE USE DISORDER GROUP,2.2,NA
JM,9/16/2025,SUBSTANCE USE DISORDER INDIVIDUAL,9.5,9.6
JM,9/16/2025,UROLOGY,14.8,51.5
JLP,9/16/2025,AUDIOLOGY,8.4,24.3
JLP,9/16/2025,CARDIOLOGY,11.1,50.3
JLP,9/16/2025,DERMATOLOGY,10.9,25.3
JLP,9/16/2025,GASTROENTEROLOGY,3.3,40.7
JLP,9/16/2025,MENTAL HEALTH GROUP,1.8,NA
JLP,9/16/2025,MENTAL HEALTH INDIVIDUAL,14.2,1
JLP,9/16/2025,NEUROLOGY,20.2,60.8
JLP,9/16/2025,ONCOLOGY,6.2,23.6
JLP,9/16/2025,OPHTHALMOLOGY,19.9,83.9
JLP,9/16/2025,OPTOMETRY,70.9,185.8
JLP,9/16/2025,ORTHOPEDICS,16.8,47.4
JLP,9/16/2025,PAIN MEDICINE,21.3,32.9
JLP,9/16/2025,PODIATRY,18.2,60.6
JLP,9/16/2025,PRIMARY CARE,12.5,14
JLP,9/16/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,4.1,16.5
JLP,9/16/2025,PULMONOLOGY,13.9,31.3
JLP,9/16/2025,SLEEP MEDICINE,81.3,348.8
JLP,9/16/2025,SUBSTANCE USE DISORDER GROUP,0.2,NA
JLP,9/16/2025,SUBSTANCE USE DISORDER INDIVIDUAL,2.8,6.6
JLP,9/16/2025,UROLOGY,11,42.3
SF,9/16/2025,AUDIOLOGY,5,23.3
SF,9/16/2025,CARDIOLOGY,15.6,23.4
SF,9/16/2025,DENTAL,10.2,70
SF,9/16/2025,DERMATOLOGY,9.3,43.3
SF,9/16/2025,ENDOCRINOLOGY,13.4,42.3
SF,9/16/2025,GASTROENTEROLOGY,8.4,31.7
SF,9/16/2025,MENTAL HEALTH GROUP,3.1,NA
SF,9/16/2025,MENTAL HEALTH INDIVIDUAL,7,46
SF,9/16/2025,NEUROLOGY,11.2,32.1
SF,9/16/2025,OB/GYN,17.8,27.7
SF,9/16/2025,OCCUPATIONAL THERAPY,6.7,13.8
SF,9/16/2025,ONCOLOGY,2.4,22.3
SF,9/16/2025,OPHTHALMOLOGY,13.3,51.7
SF,9/16/2025,OPTOMETRY,14.5,42.8
SF,9/16/2025,ORTHOPEDICS,19.6,38.2
SF,9/16/2025,PAIN MEDICINE,11,25.1
SF,9/16/2025,PHYSICAL THERAPY,10.3,46.7
SF,9/16/2025,PODIATRY,7.2,56.9
SF,9/16/2025,PRIMARY CARE,7.4,19.3
SF,9/16/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,1.8,6
SF,9/16/2025,PTSD SPECIFIC GROUP PROGRAMS,3.6,NA
SF,9/16/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,11,NA
SF,9/16/2025,PULMONOLOGY,36.3,43.5
SF,9/16/2025,SLEEP MEDICINE,27.4,36.5
SF,9/16/2025,SUBSTANCE USE DISORDER GROUP,0.1,NA
SF,9/16/2025,SUBSTANCE USE DISORDER INDIVIDUAL,2.3,42.9
SF,9/16/2025,UROLOGY,9.4,18.7
SF,9/16/2025,WOMEN'S HEALTH,2.4,9.2
TR,9/16/2025,AUDIOLOGY,4.3,10.8
TR,9/16/2025,CARDIOLOGY,13.1,18.9
TR,9/16/2025,DENTAL,17.5,35.8
TR,9/16/2025,DERMATOLOGY,5.3,39.2
TR,9/16/2025,ENDOCRINOLOGY,9.6,40.4
TR,9/16/2025,GASTROENTEROLOGY,19.8,65.4
TR,9/16/2025,MENTAL HEALTH GROUP,3.4,61.3
TR,9/16/2025,MENTAL HEALTH INDIVIDUAL,8.7,33.8
TR,9/16/2025,NEUROLOGY,19.4,83
TR,9/16/2025,OB/GYN,4.4,25.6
TR,9/16/2025,OCCUPATIONAL THERAPY,17.1,45.6
TR,9/16/2025,ONCOLOGY,9.7,27.7
TR,9/16/2025,OPHTHALMOLOGY,5.2,15.7
TR,9/16/2025,OPTOMETRY,3.6,39
TR,9/16/2025,ORTHOPEDICS,2.7,14.1
TR,9/16/2025,PAIN MEDICINE,12,38.1
TR,9/16/2025,PHYSICAL THERAPY,14.6,48.7
TR,9/16/2025,PODIATRY,4.8,22.2
TR,9/16/2025,PRIMARY CARE,7.6,36.6
TR,9/16/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,11.9,51.8
TR,9/16/2025,PTSD SPECIFIC GROUP PROGRAMS,3.9,NA
TR,9/16/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,15,33
TR,9/16/2025,PULMONOLOGY,15.5,25.9
TR,9/16/2025,SLEEP MEDICINE,29.2,104
TR,9/16/2025,SUBSTANCE USE DISORDER GROUP,0.3,NA
TR,9/16/2025,SUBSTANCE USE DISORDER INDIVIDUAL,9.7,26.8
TR,9/16/2025,UROLOGY,12.3,61.5
TR,9/16/2025,WOMEN'S HEALTH,2.8,28.4
WLA,9/16/2025,AUDIOLOGY,16.6,51.7
WLA,9/16/2025,CARDIOLOGY,15.5,22.6
WLA,9/16/2025,DENTAL,2.4,19
WLA,9/16/2025,DERMATOLOGY,13.7,41
WLA,9/16/2025,ENDOCRINOLOGY,15.4,37.7
WLA,9/16/2025,GASTROENTEROLOGY,19.2,57.8
WLA,9/16/2025,MENTAL HEALTH GROUP,10.9,94.2
WLA,9/16/2025,MENTAL HEALTH INDIVIDUAL,12.2,54.4
WLA,9/16/2025,NEUROLOGY,27.7,80.3
WLA,9/16/2025,OB/GYN,20.2,58.2
WLA,9/16/2025,OCCUPATIONAL THERAPY,17.2,28.1
WLA,9/16/2025,ONCOLOGY,8.6,30.5
WLA,9/16/2025,OPHTHALMOLOGY,11.5,35.7
WLA,9/16/2025,OPTOMETRY,32.7,60.5
WLA,9/16/2025,ORTHOPEDICS,4.6,60.8
WLA,9/16/2025,PAIN MEDICINE,13.8,53.8
WLA,9/16/2025,PHYSICAL THERAPY,13,39
WLA,9/16/2025,PODIATRY,5.1,38
WLA,9/16/2025,PRIMARY CARE,7.1,23.2
WLA,9/16/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,11.3,102.4
WLA,9/16/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,5.2,0
WLA,9/16/2025,PULMONOLOGY,16.7,36.4
WLA,9/16/2025,SLEEP MEDICINE,50.9,101.4
WLA,9/16/2025,SUBSTANCE USE DISORDER GROUP,0.1,NA
WLA,9/16/2025,SUBSTANCE USE DISORDER INDIVIDUAL,37.9,56.2
WLA,9/16/2025,UROLOGY,8.6,40.8
WLA,9/16/2025,WOMEN'S HEALTH,8.6,35.5
SF,9/17/2025,AUDIOLOGY,4.8,24.5
SF,9/17/2025,CARDIOLOGY,16.1,23.4
SF,9/17/2025,DENTAL,10.3,69.7
SF,9/17/2025,DERMATOLOGY,9.4,41.7
SF,9/17/2025,ENDOCRINOLOGY,13.8,42.8
SF,9/17/2025,GASTROENTEROLOGY,8.8,29.7
SF,9/17/2025,MENTAL HEALTH GROUP,2.9,NA
SF,9/17/2025,MENTAL HEALTH INDIVIDUAL,6.7,47.1
SF,9/17/2025,NEUROLOGY,10.6,32.7
SF,9/17/2025,OB/GYN,17.8,27.7
SF,9/17/2025,OCCUPATIONAL THERAPY,6.7,12.6
SF,9/17/2025,ONCOLOGY,2.8,22.5
SF,9/17/2025,OPHTHALMOLOGY,11.7,49.9
SF,9/17/2025,OPTOMETRY,15.4,42.6
SF,9/17/2025,ORTHOPEDICS,20.1,35.1
SF,9/17/2025,PAIN MEDICINE,11,25
SF,9/17/2025,PHYSICAL THERAPY,10.5,46.1
SF,9/17/2025,PODIATRY,7,53.6
SF,9/17/2025,PRIMARY CARE,7.4,18.6
SF,9/17/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,2,6.2
SF,9/17/2025,PTSD SPECIFIC GROUP PROGRAMS,3.5,NA
SF,9/17/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,10.5,NA
SF,9/17/2025,PULMONOLOGY,36,44.5
SF,9/17/2025,SLEEP MEDICINE,27.6,37
SF,9/17/2025,SUBSTANCE USE DISORDER GROUP,0.1,NA
SF,9/17/2025,SUBSTANCE USE DISORDER INDIVIDUAL,2.2,42.7
SF,9/17/2025,UROLOGY,9.4,18.8
SF,9/17/2025,WOMEN'S HEALTH,2.3,8.1
WLA,9/17/2025,AUDIOLOGY,16.6,52.3
WLA,9/17/2025,CARDIOLOGY,15.6,21.6
WLA,9/17/2025,DENTAL,2.6,19.6
WLA,9/17/2025,DERMATOLOGY,13.7,41.1
WLA,9/17/2025,ENDOCRINOLOGY,15.6,39.3
WLA,9/17/2025,GASTROENTEROLOGY,19.6,57
WLA,9/17/2025,MENTAL HEALTH GROUP,11.1,70
WLA,9/17/2025,MENTAL HEALTH INDIVIDUAL,12.8,54.4
WLA,9/17/2025,NEUROLOGY,27.8,82
WLA,9/17/2025,OB/GYN,19.7,57.7
WLA,9/17/2025,OCCUPATIONAL THERAPY,17.6,24.4
WLA,9/17/2025,ONCOLOGY,8.6,29.8
WLA,9/17/2025,OPHTHALMOLOGY,11.4,36.5
WLA,9/17/2025,OPTOMETRY,30.9,48.3
WLA,9/17/2025,ORTHOPEDICS,4.8,62.1
WLA,9/17/2025,PAIN MEDICINE,13.5,53.8
WLA,9/17/2025,PHYSICAL THERAPY,12.9,38.1
WLA,9/17/2025,PODIATRY,5.4,37
WLA,9/17/2025,PRIMARY CARE,7.1,23
WLA,9/17/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,10.9,101.9
WLA,9/17/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,4.8,0
WLA,9/17/2025,PULMONOLOGY,16.7,34.5
WLA,9/17/2025,SLEEP MEDICINE,51.9,100.3
WLA,9/17/2025,SUBSTANCE USE DISORDER GROUP,0.1,NA
WLA,9/17/2025,SUBSTANCE USE DISORDER INDIVIDUAL,38,56.2
WLA,9/17/2025,UROLOGY,9,38.9
WLA,9/17/2025,WOMEN'S HEALTH,8.6,36.1
