clinic,date,type,wait_established,wait_new
DAL,9/16/2025,MENTAL HEALTH INDIVIDUAL,5.2,21.3
DAL,9/16/2025,NEUROLOGY,29.6,139.2
DAL,9/16/2025,OB/GYN,17.1,57.9
DAL,9/16/2025,OCCUPATIONAL THERAPY,8.7,21.1
DAL,9/16/2025,ONCOLOGY,3,25.4
DAL,9/16/2025,OPHTHALMOLOGY,9,43.7
DAL,9/16/2025,OPTOMETRY,25.4,97.3
DAL,9/16/2025,ORTHOPEDICS,12.4,30.3
DAL,9/16/2025,PAIN MEDICINE,7.9,41.5
DAL,9/16/2025,PHYSICAL THERAPY,23.4,42.3
DAL,9/16/2025,PODIATRY,21.3,46.5
DAL,9/16/2025,PRIMARY CARE,5.7,25.2
DAL,9/16/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,8.1,23.5
DAL,9/16/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,9.8,NA
DAL,9/16/2025,PULMONOLOGY,10.5,46.6
DAL,9/16/2025,SLEEP MEDICINE,8.4,39.8
DAL,9/16/2025,SUBSTANCE USE DISORDER GROUP,0,NA
DAL,9/16/2025,SUBSTANCE USE DISORDER INDIVIDUAL,3.2,NA
DAL,9/16/2025,UROLOGY,15.7,65.2
MEDB,9/16/2025,AUDIOLOGY,5.1,69.8
MEDB,9/16/2025,CARDIOLOGY,7.6,30.2
MEDB,9/16/2025,DENTAL,3,60.2
MEDB,9/16/2025,DERMATOLOGY,2.2,34.5
MEDB,9/16/2025,ENDOCRINOLOGY,15.2,66.3
MEDB,9/16/2025,GASTROENTEROLOGY,36.2,70.6
MEDB,9/16/2025,MENTAL HEALTH GROUP,5,NA
MEDB,9/16/2025,MENTAL HEALTH INDIVIDUAL,10.2,43.1
MEDB,9/16/2025,NEUROLOGY,7,39.4
MEDB,9/16/2025,OB/GYN,6.4,70.9
MEDB,9/16/2025,OCCUPATIONAL THERAPY,7.4,29.2
MEDB,9/16/2025,ONCOLOGY,3.6,62.1
MEDB,9/16/2025,OPHTHALMOLOGY,1.2,14.3
MEDB,9/16/2025,OPTOMETRY,1.4,38
MEDB,9/16/2025,ORTHOPEDICS,2.7,15.6
MEDB,9/16/2025,PAIN MEDICINE,3.1,21.3
MEDB,9/16/2025,PHYSICAL THERAPY,8.9,41
MEDB,9/16/2025,PODIATRY,2.2,30
MEDB,9/16/2025,PRIMARY CARE,3,27.2
MEDB,9/16/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,9.9,35.4
MEDB,9/16/2025,PTSD SPECIFIC GROUP PROGRAMS,0,NA
MEDB,9/16/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,19,NA
MEDB,9/16/2025,PULMONOLOGY,17.6,39.7
MEDB,9/16/2025,SLEEP MEDICINE,44.9,119.8
MEDB,9/16/2025,SUBSTANCE USE DISORDER GROUP,0,NA
MEDB,9/16/2025,SUBSTANCE USE DISORDER INDIVIDUAL,1.8,30
MEDB,9/16/2025,UROLOGY,5.5,78.5
MEDB,9/16/2025,WOMEN'S HEALTH,4.8,22.2
OET,9/16/2025,AUDIOLOGY,24.1,87.1
OET,9/16/2025,CARDIOLOGY,16.8,63.6
OET,9/16/2025,DENTAL,29.5,103.5
OET,9/16/2025,DERMATOLOGY,24.4,57.3
OET,9/16/2025,ENDOCRINOLOGY,5.6,12.8
OET,9/16/2025,GASTROENTEROLOGY,30.7,117.3
OET,9/16/2025,MENTAL HEALTH GROUP,3,11.7
OET,9/16/2025,MENTAL HEALTH INDIVIDUAL,27.9,29.6
OET,9/16/2025,NEUROLOGY,12,88.8
OET,9/16/2025,OB/GYN,9.4,81.6
OET,9/16/2025,OCCUPATIONAL THERAPY,35.1,39
OET,9/16/2025,ONCOLOGY,2.1,65.1
OET,9/16/2025,OPHTHALMOLOGY,13.4,60.5
OET,9/16/2025,OPTOMETRY,21.8,86.4
OET,9/16/2025,ORTHOPEDICS,8.8,33.9
OET,9/16/2025,PAIN MEDICINE,22.9,42.8
OET,9/16/2025,PHYSICAL THERAPY,12.7,35.3
OET,9/16/2025,PODIATRY,18.8,90.7
OET,9/16/2025,PRIMARY CARE,12.2,54.7
OET,9/16/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,7.7,25.8
OET,9/16/2025,PTSD SPECIFIC GROUP PROGRAMS,0.3,NA
OET,9/16/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,11.5,NA
OET,9/16/2025,PULMONOLOGY,35.5,113
OET,9/16/2025,SLEEP MEDICINE,7.5,142.7
OET,9/16/2025,SUBSTANCE USE DISORDER GROUP,3,NA
OET,9/16/2025,SUBSTANCE USE DISORDER INDIVIDUAL,6.6,26.3
OET,9/16/2025,UROLOGY,9.8,115
OET,9/16/2025,WOMEN'S HEALTH,16.4,67.8
TEC,9/16/2025,AUDIOLOGY,3.3,23.9
TEC,9/16/2025,CARDIOLOGY,3.1,17.1
TEC,9/16/2025,DENTAL,1.8,29.6
TEC,9/16/2025,DERMATOLOGY,11.3,79.7
TEC,9/16/2025,ENDOCRINOLOGY,9.1,54.8
TEC,9/16/2025,GASTROENTEROLOGY,2.5,25.2
TEC,9/16/2025,MENTAL HEALTH GROUP,0,1
TEC,9/16/2025,MENTAL HEALTH INDIVIDUAL,7.3,0
TEC,9/16/2025,OB/GYN,2.4,24
TEC,9/16/2025,OCCUPATIONAL THERAPY,12.4,33.7
TEC,9/16/2025,ONCOLOGY,1.8,28
TEC,9/16/2025,OPHTHALMOLOGY,0.1,NA
TEC,9/16/2025,OPTOMETRY,4.1,36.9
TEC,9/16/2025,ORTHOPEDICS,1.2,20.4
TEC,9/16/2025,PAIN MEDICINE,11.9,56.7
TEC,9/16/2025,PHYSICAL THERAPY,3,24.2
TEC,9/16/2025,PODIATRY,2.2,24.8
TEC,9/16/2025,PRIMARY CARE,1.6,13.8
TEC,9/16/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,0.8,0.6
TEC,9/16/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,7,NA
TEC,9/16/2025,PULMONOLOGY,7.6,64.9
TEC,9/16/2025,SLEEP MEDICINE,6.9,21.4
TEC,9/16/2025,SUBSTANCE USE DISORDER GROUP,0,NA
TEC,9/16/2025,SUBSTANCE USE DISORDER INDIVIDUAL,2.3,3
TEC,9/16/2025,UROLOGY,1.9,27.2
TEC,9/16/2025,WOMEN'S HEALTH,1.2,11.7
DAL,9/17/2025,AUDIOLOGY,0.5,9.4
DAL,9/17/2025,CARDIOLOGY,11.4,29
DAL,9/17/2025,DENTAL,11.8,34.6
DAL,9/17/2025,ENDOCRINOLOGY,12.8,55.5
DAL,9/17/2025,GASTROENTEROLOGY,12.2,32.8
DAL,9/17/2025,MENTAL HEALTH GROUP,0.7,6
DAL,9/17/2025,MENTAL HEALTH INDIVIDUAL,5.4,21.5
DAL,9/17/2025,NEUROLOGY,31.2,139.6
DAL,9/17/2025,OB/GYN,17.8,57.8
DAL,9/17/2025,OCCUPATIONAL THERAPY,8.6,21.3
DAL,9/17/2025,ONCOLOGY,3,24.6
DAL,9/17/2025,OPHTHALMOLOGY,9.1,43.5
DAL,9/17/2025,OPTOMETRY,25.6,97.7
DAL,9/17/2025,ORTHOPEDICS,11.8,30
DAL,9/17/2025,PAIN MEDICINE,8,41.2
DAL,9/17/2025,PHYSICAL THERAPY,23.3,42.3
DAL,9/17/2025,PODIATRY,21.6,45.6
DAL,9/17/2025,PRIMARY CARE,5.6,24.9
DAL,9/17/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,8.6,23.8
DAL,9/17/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,10,NA
DAL,9/17/2025,PULMONOLOGY,11.5,42.3
DAL,9/17/2025,SLEEP MEDICINE,8.6,39.2
DAL,9/17/2025,SUBSTANCE USE DISORDER GROUP,0,NA
DAL,9/17/2025,SUBSTANCE USE DISORDER INDIVIDUAL,3.4,NA
DAL,9/17/2025,UROLOGY,15.6,64
OET,9/17/2025,AUDIOLOGY,23.8,86
OET,9/17/2025,CARDIOLOGY,17.1,63.6
OET,9/17/2025,DENTAL,29.4,102
OET,9/17/2025,DERMATOLOGY,24.8,50.9
OET,9/17/2025,ENDOCRINOLOGY,5.7,12.2
OET,9/17/2025,GASTROENTEROLOGY,31.2,117.6
OET,9/17/2025,MENTAL HEALTH GROUP,3,11.7
OET,9/17/2025,MENTAL HEALTH INDIVIDUAL,27.5,28.6
OET,9/17/2025,NEUROLOGY,12.7,89
OET,9/17/2025,OB/GYN,9.6,79.9
OET,9/17/2025,OCCUPATIONAL THERAPY,35,37.8
OET,9/17/2025,ONCOLOGY,2.2,64.6
OET,9/17/2025,OPHTHALMOLOGY,12.6,61.1
OET,9/17/2025,OPTOMETRY,21.5,85.2
OET,9/17/2025,ORTHOPEDICS,8.9,34
OET,9/17/2025,PAIN MEDICINE,23.6,42.8
OET,9/17/2025,PHYSICAL THERAPY,12.6,35.6
OET,9/17/2025,PODIATRY,18.6,89.1
OET,9/17/2025,PRIMARY CARE,12.1,54.6
OET,9/17/2025,PRIMARY CARE MENTAL HEALTH INTEGRATED CARE,7.5,26.4
OET,9/17/2025,PTSD SPECIFIC GROUP PROGRAMS,0.3,NA
OET,9/17/2025,PTSD SPECIFIC INDIVIDUAL PROGRAMS,11.4,NA
OET,9/17/2025,PULMONOLOGY,37.3,113.3
OET,9/17/2025,SLEEP MEDICINE,7.5,140.2
OET,9/17/2025,SUBSTANCE USE DISORDER GROUP,2.8,NA
OET,9/17/2025,SUBSTANCE USE DISORDER INDIVIDUAL,6.6,26.3
OET,9/17/2025,UROLOGY,9.6,118.1
OET,9/17/2025,WOMEN'S HEALTH,16.4,62.2
ALM,9/17/2025,AUDIOLOGY,14.4,92.4
